타임스탬프,최근 7일 동안 아침식사를 한 날이 몇 일 정도 되나요?,최근 12개월 동안 학업 성취도는 어땠나요?
2024. 11. 26 오후 7:51:39,4일 이상 7일 이하,중
2024. 11. 26 오후 9:03:41,4일 이상 7일 이하,상
2024. 11. 26 오후 10:27:50,1일 미만,하
2024. 11. 26 오후 11:44:23,1일 미만,하
2024. 11. 27 오전 9:34:47,1일 미만,중
2024. 11. 27 오전 10:22:59,1일 이상 3일 이하,중
2024. 11. 27 오전 11:31:09,4일 이상 7일 이하,상
2024. 11. 27 오후 12:50:36,1일 미만,하
2024. 11. 27 오후 2:01:43,1일 이상 3일 이하,중
2024. 11. 27 오후 3:14:28,1일 미만,하
2024. 11. 27 오후 4:20:09,1일 미만,하
2024. 11. 27 오후 5:38:28,4일 이상 7일 이하,상
2024. 11. 27 오후 6:43:50,1일 이상 3일 이하,하
